"","V1"
"1","0.000336137383487118"
"2","0.000731117766108404"
"3","0.00056627745389807"
"4","0.000217171467872703"
"5","0.000602150406977239"
"6","0.000388798639211803"
"7","0.00079886216812344"
"8","0.000592153060377351"
"9","0.000407507612936744"
"10","0.000422852298653958"
"11","0.000667013739721474"
"12","-0.000175664746386596"
"13","0.000371332338243837"
"14","0.000551899502664383"
"15","0.00013742442559596"
"16","0.000485684693517976"
"17","0.000490337946425079"
"18","0.000490053441746576"
"19","0.00046899248186099"
"20","0.000477758448412946"
"21","0.00048058075290255"
"22","0.00048166084890145"
