"","V1"
"1","0.000331758732831223"
"2","0.000651370320835225"
"3","0.000637482704653025"
"4","0.000187779117461425"
"5","0.000580346408480304"
"6","0.000429612077937759"
"7","0.00071875857932026"
"8","0.000642053022923096"
"9","0.000392567032102977"
"10","0.000372311658734753"
"11","0.00069713443549009"
"12","-0.000122182313399765"
"13","0.00033017327106312"
"14","0.000563679524311106"
"15","0.000160684308631288"
"16","0.000494550416207634"
"17","0.000484966212798782"
"18","0.000505340706580638"
"19","0.000482509068467315"
"20","0.000474303003699101"
"21","0.000489629683347861"
"22","0.000481587404500591"
