Date,Open,High,Low,Close,Volume,Adj Close,Returns
07-09-2011,1024.4,1079.9,1020.05,1066.4,948500,961.68,0.047585188
08-09-2011,1070.15,1080,1054,1061.2,309400,956.99,-0.004888813
09-09-2011,1060,1063.8,1011,1028.75,417800,927.72,-0.031062979
12-09-2011,1017,1047.55,1003,1030.2,206300,929.03,0.001411068
13-09-2011,1038.25,1058,1034.5,1054.1,298200,950.58,0.022931294
14-09-2011,1055,1059.75,1033.35,1047.4,240700,944.54,-0.006374288
15-09-2011,1053,1072.9,1049,1064.85,317300,960.28,0.016526872
16-09-2011,1062.15,1073.2,1027.5,1037.9,437600,935.97,-0.025641484
19-09-2011,1040,1055,1029.55,1049.9,186900,946.8,0.011504453
20-09-2011,1052,1069.8,1052,1066.7,229200,961.95,0.015874597
21-09-2011,1061.5,1078.6,1061.5,1071.7,335300,966.46,0.004677437
22-09-2011,1057.05,1084.8,1048.85,1068.4,550400,963.48,-0.003088181
23-09-2011,1058.65,1078.45,1056,1069.25,326400,964.25,0.000798867
26-09-2011,1066.45,1089,1060.4,1080.8,258600,974.66,0.010738095
27-09-2011,1082,1096,1072.1,1091.4,436500,984.22,0.009760757
28-09-2011,1095.1,1102.5,1083.4,1088.15,314800,981.29,-0.002981417
29-09-2011,1080.15,1098.1,1077.05,1089.75,439600,982.73,0.00146638
30-09-2011,1086,1105,1086,1098.55,212000,990.67,0.008047069
03-10-2011,1096.7,1104.9,1077.5,1100.55,202600,992.47,0.001815304
04-10-2011,1097,1112.5,1090,1100.2,271000,992.16,-0.000312401
05-10-2011,1100,1116,1082.05,1107,281500,998.29,0.006159431
07-10-2011,1120,1128.55,1103,1113.5,266200,1004.15,0.005852876
10-10-2011,1108,1138.05,1092.3,1131.15,406300,1020.07,0.01572984
11-10-2011,1125.05,1147.15,1125.05,1133.95,317100,1022.59,0.002467372
12-10-2011,1134.55,1144,1132,1140.5,379400,1028.5,0.005762805
13-10-2011,1140,1140.85,1120.35,1122.65,203900,1012.4,-0.01577768
14-10-2011,1116.1,1126.8,1112.2,1119.5,179100,1009.56,-0.002809157
17-10-2011,1119.75,1121.4,1101.55,1111.5,166100,1002.35,-0.007167349
18-10-2011,1100.1,1115.45,1097.9,1105.35,192200,996.8,-0.005552374
19-10-2011,1105.5,1134,1104.05,1126.5,241800,1015.87,0.018950519
20-10-2011,1126,1126,1107,1115.05,172300,1005.55,-0.010210733
21-10-2011,1120,1127.7,1112.35,1118.05,105500,1008.25,0.002681499
24-10-2011,1129.9,1144.75,1126.2,1134.35,131900,1022.95,0.014474455
25-10-2011,1139,1196.8,1134.45,1183.45,697600,1067.23,0.042375897
26-10-2011,1183,1198.5,1175.35,1193.7,76200,1076.47,0.008620663
28-10-2011,1207,1237.4,1207,1224,325100,1103.8,0.025071603
31-10-2011,1216.2,1224,1190.1,1195.05,226500,1077.69,-0.02393891
01-11-2011,1199,1209.25,1166,1184.15,792800,1067.86,-0.009163216
02-11-2011,1180,1195.85,1173.2,1185.65,268900,1069.21,0.001263412
03-11-2011,1180,1221.1,1176.65,1210.3,418800,1091.44,0.020577867
04-11-2011,1215.55,1231.75,1210.1,1223.5,304300,1103.35,0.010853081
08-11-2011,1224,1229.75,1211.45,1218.6,176500,1098.93,-0.004014027
09-11-2011,1225.85,1225.85,1198.2,1207.55,318600,1088.96,-0.009113867
11-11-2011,1214.85,1223.75,1191.55,1218.6,231800,1098.93,0.009113867
14-11-2011,1222.15,1232.95,1211,1217.1,124900,1097.58,-0.001229223
15-11-2011,1200.15,1221.9,1200.15,1208.45,147900,1089.78,-0.007131915
16-11-2011,1205,1209.9,1181.3,1193.35,111000,1076.16,-0.012576691
17-11-2011,1193,1193,1151.2,1158.55,262500,1044.78,-0.029592813
18-11-2011,1151.05,1163.7,1133,1150.5,261800,1037.52,-0.006973087
21-11-2011,1145.15,1149.6,1128,1134.5,246200,1023.09,-0.01400579
22-11-2011,1134.5,1150,1121.1,1142.5,156700,1030.3,0.007022562
23-11-2011,1134.9,1144.85,1126.1,1130.85,240800,1019.8,-0.010243492
24-11-2011,1129.5,1137.95,1104.1,1114.15,350200,1004.74,-0.014877728
25-11-2011,1110,1129,1097.45,1120.3,238100,1010.28,0.005498719
28-11-2011,1129,1199,1126.2,1192.75,450300,1075.62,0.062669719
29-11-2011,1186.15,1192,1148,1160.9,180600,1046.9,-0.027063823
30-11-2011,1142.15,1152.8,1135,1144.3,263700,1031.93,-0.014402581
01-12-2011,1164.7,1185.45,1161.25,1171.5,356000,1056.45,0.023483396
02-12-2011,1170.25,1219,1170,1214,411800,1094.78,0.035639199
05-12-2011,1210,1225.5,1193.3,1204.25,282100,1085.99,-0.008061416
07-12-2011,1193.05,1230,1193.05,1218.8,198000,1099.11,0.012008748
08-12-2011,1208,1218.1,1190.5,1202.7,152300,1084.59,-0.013298726
09-12-2011,1189.5,1198.3,1160.55,1163.8,475700,1049.51,-0.032878647
12-12-2011,1177.9,1177.9,1113.1,1120.75,309900,1010.69,-0.037690123
13-12-2011,1110,1146.85,1101.1,1136.05,163000,1024.49,0.013561662
14-12-2011,1144,1147.8,1123.2,1140.65,177200,1028.63,0.004032892
15-12-2011,1127.15,1147.7,1125,1140.35,331300,1028.36,-0.00026252
16-12-2011,1133.1,1167.5,1118.15,1128.75,273100,1017.9,-0.010223619
19-12-2011,1134.8,1141.3,1111,1129.6,247000,1018.67,0.000756173
20-12-2011,1131,1134.7,1084,1101.85,382400,993.64,-0.024878166
21-12-2011,1112,1149,1111,1139.95,295800,1028,0.033995478
22-12-2011,1137.15,1155,1125.15,1141.15,249400,1029.08,0.001050032
23-12-2011,1145,1162.2,1127.5,1139.05,182700,1027.19,-0.001838281
26-12-2011,1143.85,1164,1133,1159.2,155900,1045.36,0.017534405
27-12-2011,1164,1180.9,1158.6,1174.65,283800,1059.3,0.013246989
28-12-2011,1175,1186,1160,1168.3,202900,1053.57,-0.005423915
29-12-2011,1165.4,1165.4,1145.7,1151.3,237100,1038.24,-0.014657425
30-12-2011,1151.35,1158.9,1132.05,1136.9,111800,1025.25,-0.012590487
02-01-2012,1145,1145.55,1117.65,1138.85,84700,1027.01,0.001715183
03-01-2012,1141.65,1158.9,1125,1143.7,276100,1031.38,0.004246043
04-01-2012,1135,1140,1093.1,1104.3,419400,995.85,-0.035056346
05-01-2012,1098.2,1122.9,1082.3,1112.65,568700,1003.38,0.007532936
06-01-2012,1107.1,1114,1088,1103.1,395600,994.77,-0.008618025
09-01-2012,1100,1107.8,1091.5,1099.65,222500,991.66,-0.003131248
10-01-2012,1100,1125,1100,1116.05,278200,1006.45,0.01480426
11-01-2012,1115,1132.5,1106.05,1116.6,312300,1006.95,0.000496672
12-01-2012,1114,1128,1109.95,1120.2,198200,1010.19,0.003212472
13-01-2012,1125,1131,1113.55,1124.45,268900,1014.02,0.003784197
16-01-2012,1120.1,1126.9,1105.1,1112.85,94200,1003.56,-0.010368951
17-01-2012,1113.95,1145.45,1113.95,1139.35,299800,1027.46,0.023536059
18-01-2012,1144,1151.8,1125.65,1130.15,167800,1019.17,-0.008101167
19-01-2012,1140,1178.5,1133.5,1151.35,554300,1038.28,0.018576927
20-01-2012,1155,1160,1140.45,1150.05,220600,1037.11,-0.001127499
23-01-2012,1135.1,1168,1135.1,1165.5,329200,1051.04,0.013342151
24-01-2012,1169.8,1184,1163.8,1176.75,314500,1061.19,0.00961077
25-01-2012,1178,1196,1167.5,1173.8,318500,1058.53,-0.002509767
27-01-2012,1180,1207,1173.05,1191.7,437300,1074.67,0.015132485
30-01-2012,1180.1,1205,1165,1170.25,173200,1055.33,-0.018160123
31-01-2012,1177.55,1201.8,1177,1193.2,219200,1076.02,0.019415535
01-02-2012,1188,1214,1188,1202,193000,1083.96,0.007351953
02-02-2012,1210,1264.45,1205.3,1248.85,552000,1126.21,0.038237011
03-02-2012,1260,1275,1252,1267.25,444300,1142.8,0.014623378
06-02-2012,1280,1354.9,1272.25,1334.2,787600,1203.18,0.05148666
07-02-2012,1341,1374,1300.1,1358.9,804000,1225.45,0.018340072
08-02-2012,1354.05,1393,1336.25,1384.6,684300,1248.63,0.018738827
09-02-2012,1378.9,1399,1370.3,1389.3,594800,1252.87,0.003389969
10-02-2012,1400,1421.75,1336.25,1347,667400,1214.72,-0.030923322
13-02-2012,1346.7,1373.7,1335.5,1355.35,236500,1222.25,0.006179825
14-02-2012,1352.2,1370,1336.25,1339.2,227000,1207.69,-0.011983978
15-02-2012,1349.5,1387.5,1341,1369.8,487200,1235.28,0.022588221
16-02-2012,1356.6,1368.9,1334,1345.4,307900,1213.28,-0.017970229
17-02-2012,1353,1384.8,1336.8,1366.45,301900,1232.26,0.015522446
21-02-2012,1364.5,1380.55,1354.05,1370.75,236400,1236.14,0.003143739
22-02-2012,1370.75,1371,1315.9,1325.3,899300,1195.15,-0.033721921
23-02-2012,1316.1,1327.6,1293,1299.3,650900,1171.7,-0.019816015
24-02-2012,1294,1320,1256,1267.8,728500,1143.3,-0.024536868
27-02-2012,1252.35,1284.95,1237.85,1258.1,623900,1134.55,-0.007682721
28-02-2012,1266.95,1301.9,1266,1288.65,326900,1162.1,0.023992617
29-02-2012,1293,1320,1293,1306.05,607100,1177.79,0.013411088
01-03-2012,1305,1344,1285.35,1322.05,296500,1192.22,0.012177314
02-03-2012,1330,1355,1325,1338.45,571000,1207.01,0.012329112
05-03-2012,1330,1330,1286.6,1299.65,196300,1172.02,-0.029417471
06-03-2012,1288.1,1314.85,1273,1292.7,401700,1165.75,-0.005364099
07-03-2012,1285,1309.95,1281.5,1304.35,115400,1176.26,0.008975257
09-03-2012,1315,1331.2,1301.1,1318.75,216600,1189.24,0.010974534
12-03-2012,1321,1326,1296,1321.2,248500,1207.01,0.014831779
13-03-2012,1325.5,1345.95,1325.5,1339,417800,1223.27,0.013381374
