Date,Open,High,Low,Close
01-06-2016 09:15,1525.0021,1528.0818,1518.0476,1527.0387
01-06-2016 09:20,1526.0453,1530.3171,1525.5981,1528.0322
01-06-2016 09:25,1529.0258,1530.8636,1527.0387,1530.1681
01-06-2016 09:30,1530.2676,1534.7878,1529.4728,1531.4597
01-06-2016 09:35,1531.4597,1532.4531,1528.976,1530.516
01-06-2016 09:40,1530.7643,1530.7643,1527.0884,1528.0322
01-06-2016 09:45,1528.2806,1530.516,1527.4857,1529.4728
01-06-2016 09:50,1527.7838,1529.9198,1527.7838,1529.2244
01-06-2016 09:55,1529.7709,1529.7709,1527.5355,1529.0258
01-06-2016 10:00,1529.0258,1529.4728,1527.1381,1527.1381
01-06-2016 10:05,1528.976,1529.9198,1526.8896,1529.0258
01-06-2016 10:10,1529.7709,1529.7709,1525.3002,1527.9825
01-06-2016 10:15,1527.9825,1528.7773,1525.8962,1528.0322
01-06-2016 10:20,1528.1316,1528.8269,1526.6909,1528.0818
01-06-2016 10:25,1528.4296,1529.7709,1525.9955,1528.2308
01-06-2016 10:30,1526.989,1529.7709,1526.989,1529.6714
01-06-2016 10:35,1528.976,1529.2244,1526.8896,1528.0322
01-06-2016 10:40,1527.9825,1529.423,1525.8962,1527.7838
01-06-2016 10:45,1527.8335,1528.1812,1527.7838,1528.0322
01-06-2016 10:50,1527.9825,1529.6714,1525.4988,1529.6714
01-06-2016 10:55,1528.6779,1528.976,1526.2936,1528.8767
01-06-2016 11:00,1528.8269,1528.8269,1525.9955,1527.7838
01-06-2016 11:05,1527.9327,1529.125,1525.0021,1528.6283
01-06-2016 11:10,1528.4792,1529.9695,1526.0453,1529.9695
01-06-2016 11:15,1528.976,1529.9198,1526.9393,1529.572
01-06-2016 11:20,1526.6414,1529.1747,1526.2936,1528.976
01-06-2016 11:25,1526.0948,1529.125,1526.0948,1528.4792
01-06-2016 11:30,1528.6779,1528.7277,1525.6478,1528.4792
01-06-2016 11:35,1528.4792,1528.6779,1526.0453,1528.6779
01-06-2016 11:40,1528.5786,1528.976,1525.3994,1526.542
01-06-2016 11:45,1528.4792,1528.976,1525.5485,1525.6974
01-06-2016 11:50,1528.8269,1528.8269,1525.5485,1528.4792
01-06-2016 11:55,1528.4792,1528.6283,1525.4988,1528.5289
01-06-2016 12:00,1528.4792,1532.95,1528.4792,1531.9564
01-06-2016 12:05,1528.2308,1533.4467,1528.2308,1533.2976
01-06-2016 12:10,1533.2976,1533.2976,1528.5786,1532.5029
01-06-2016 12:15,1532.8506,1532.8506,1528.1812,1529.274
01-06-2016 12:20,1529.274,1529.423,1528.976,1529.1747
01-06-2016 12:25,1529.125,1530.0688,1526.989,1529.4728
01-06-2016 12:30,1529.4728,1532.0558,1528.2806,1532.0061
01-06-2016 12:35,1529.9695,1532.6519,1528.976,1528.976
01-06-2016 12:40,1531.9564,1532.4034,1529.0258,1529.0258
01-06-2016 12:45,1529.2244,1531.7081,1526.5916,1531.1616
01-06-2016 12:50,1531.2113,1531.2113,1527.1876,1529.9695
01-06-2016 12:55,1529.9198,1530.4662,1529.9198,1530.0688
01-06-2016 13:00,1530.0688,1530.1185,1526.3433,1529.7709
01-06-2016 13:05,1529.4728,1529.7709,1529.4728,1529.6714
01-06-2016 13:10,1529.4728,1530.8636,1529.4728,1529.7211
01-06-2016 13:15,1529.9695,1530.0192,1526.3929,1529.4728
01-06-2016 13:20,1529.6714,1530.3669,1526.5916,1529.9695
01-06-2016 13:25,1529.7709,1531.5591,1529.7709,1531.5591
01-06-2016 13:30,1531.3604,1531.8572,1529.9695,1530.963
01-06-2016 13:35,1531.41,1531.9564,1529.8204,1531.9564
01-06-2016 13:40,1531.9564,1536.8741,1531.3604,1533.2976
01-06-2016 13:45,1533.1486,1534.1918,1530.1681,1532.155
01-06-2016 13:50,1532.2048,1532.6519,1527.9825,1530.9132
01-06-2016 13:55,1527.436,1530.963,1526.2936,1529.572
01-06-2016 14:00,1529.572,1530.963,1528.7773,1530.963
01-06-2016 14:05,1530.963,1530.963,1527.2374,1530.963
01-06-2016 14:10,1530.963,1534.7383,1530.4662,1530.4662
01-06-2016 14:15,1530.7643,1532.0061,1526.6414,1529.4728
01-06-2016 14:20,1528.976,1533.6453,1528.976,1533.4467
01-06-2016 14:25,1532.9001,1533.8937,1529.3734,1531.4597
01-06-2016 14:30,1531.41,1531.41,1528.3302,1529.7709
01-06-2016 14:35,1529.7211,1532.7512,1526.989,1532.4531
01-06-2016 14:40,1528.6283,1533.6453,1528.1316,1532.2048
01-06-2016 14:45,1532.1055,1532.95,1527.4857,1532.95
01-06-2016 14:50,1532.95,1533.9434,1529.1747,1533.8441
01-06-2016 14:55,1533.3473,1533.9434,1528.6779,1533.6951
01-06-2016 15:00,1529.6714,1535.8806,1528.6779,1533.0492
01-06-2016 15:05,1533.6453,1535.8806,1528.6283,1535.8806
01-06-2016 15:10,1531.6088,1537.8677,1531.5094,1532.95
01-06-2016 15:15,1537.5697,1546.809,1531.6088,1545.9646
01-06-2016 15:20,1546.7097,1548.796,1539.9043,1547.902
01-06-2016 15:25,1547.8522,1549.7894,1540.0037,1548.8457
02-06-2016 09:15,1539.9043,1547.8522,1537.818,1539.5566
02-06-2016 09:20,1539.4076,1542.1895,1537.2219,1539.9043
02-06-2016 09:25,1538.4141,1539.9043,1534.6885,1538.9109
02-06-2016 09:30,1539.507,1539.9043,1538.8611,1539.7057
02-06-2016 09:35,1539.9043,1539.9043,1532.5029,1534.8872
02-06-2016 09:40,1534.2911,1535.682,1533.546,1534.2911
02-06-2016 09:45,1533.546,1533.8441,1529.0258,1529.9695
02-06-2016 09:50,1528.976,1529.9695,1527.0884,1529.8204
02-06-2016 09:55,1529.3734,1530.4165,1529.0753,1529.9695
02-06-2016 10:00,1529.8701,1530.5656,1529.0753,1529.9695
02-06-2016 10:05,1530.5656,1530.5656,1528.976,1529.9695
02-06-2016 10:10,1529.9695,1529.9695,1528.976,1529.9695
